Experiment,Average Memory usage of Erlang Processes (MB)
100_1_Direct_3_100,248.39
100_1_Fanout_3_100,249.97
100_1_Direct_3_500,4704.67
100_1_Fanout_3_500,4706.97
100_1_Direct_3_1000,7806.6
100_1_Fanout_3_1000,9384.35
300_1_Direct_3_100,305.1
300_1_Fanout_3_100,297.52
300_1_Direct_3_500,7208.88
300_1_Fanout_3_500,6730.03
300_1_Direct_3_1000,10885.45
300_1_Fanout_3_1000,7331.74
100_1_Direct_100_100,185.87
100_1_Fanout_100_100,193.63
100_1_Direct_500_500,252.69
100_1_Fanout_500_500,256.57
100_1_Direct_1000_1000,302.39
100_1_Fanout_1000_1000,319.98
300_1_Direct_100_100,191.46
300_1_Fanout_100_100,192.26
300_1_Direct_500_500,274.09
300_1_Fanout_500_500,289.56
300_1_Direct_1000_1000,369.41
300_1_Fanout_1000_1000,396.46
100_1_Topic_3_3,158.48
100_1_Topic_3_50,194.82
100_1_Topic_3_100,247.78
100_1_Topic_3_500,5437.89
100_1_Topic_3_1000,8655.87
100_1_Topic_100_100,191.18
100_1_Topic_500_500,268.18
100_1_Topic_1000_1000,321.23
300_1_Topic_3_3,159.67
300_1_Topic_3_50,285.2
300_1_Topic_3_100,304.08
300_1_Topic_3_500,6353.14
300_1_Topic_3_1000,11147.59
300_1_Topic_100_100,194.1
300_1_Topic_500_500,287.82
300_1_Topic_1000_1000,389.11
