Experiment,Average Power Consumption (mW),Error
100_1_Direct_3_100,15691.76,
100_1_Fanout_3_100,15098.75,
100_1_Direct_3_500,124619.42,
100_1_Fanout_3_500,127188.42,
100_1_Direct_3_1000,131837.93,
100_1_Fanout_3_1000,148390.58,
300_1_Direct_3_100,41587.06,
300_1_Fanout_3_100,39603.3,
300_1_Direct_3_500,177771.49,
300_1_Fanout_3_500,165369.74,
300_1_Direct_3_1000,151291.26,
300_1_Fanout_3_1000,115327.5,
100_1_Direct_100_100,,No column found that starts with '/opt/erlang/lib'
100_1_Fanout_100_100,1321.9,
100_1_Direct_500_500,2255.48,
100_1_Fanout_500_500,2169.91,
100_1_Direct_1000_1000,2829.67,
100_1_Fanout_1000_1000,2657.33,
300_1_Direct_100_100,3733.45,
300_1_Fanout_100_100,3103.79,
300_1_Direct_500_500,4622.4,
300_1_Fanout_500_500,4441.17,
300_1_Direct_1000_1000,5531.35,
300_1_Fanout_1000_1000,5289.06,
100_1_Topic_3_3,723.07,
100_1_Topic_3_50,7300.91,
300_1_Topic_3_3,1889.4,
300_1_Topic_3_50,19488.65,
